Asteroids	platforms	Arcade, [[#Ports
Mitcham	platforms	2
Mitcham Junction station	platforms	4
720°	platforms	Arcade game, [[#Ports
Dungeon Magic: Sword of the Elements	platforms	Nintendo Entertainment System
Crystalis	platforms	Nintendo Entertainment System
Crystalis	platforms	Game Boy Color
Faxanadu	platforms	Nintendo Entertainment System
Faxanadu	platforms	Virtual Console
The Legend of Zelda: The Wind Waker	platforms	GameCube
Destiny of an Emperor	platforms	Nintendo Entertainment System
SimAnt	platforms	Amiga
SimAnt	platforms	DOS
SimAnt	platforms	Super NES
SimAnt	platforms	Windows 3.1x
SimAnt	platforms	Mac OS
SimAnt	platforms	NEC PC-9801
Woolwich Arsenal station	platforms	4
Blackheath railway station	platforms	2
Dollis Hill tube station	platforms	2
F-Zero	platforms	Super Nintendo Entertainment System
GoldenEye 007	platforms	Nintendo 64
Perfect Dark	platforms	Nintendo 64
Star Control II	platforms	DOS
Star Control II	platforms	3DO Interactive Multiplayer
Star Control II	platforms	OS X
Archon: The Light and the Dark	platforms	Atari 8-bit
Archon: The Light and the Dark	platforms	Apple II
Archon: The Light and the Dark	platforms	Commodore 64
Archon: The Light and the Dark	platforms	Amiga
Archon: The Light and the Dark	platforms	MS-DOS
Archon: The Light and the Dark	platforms	Macintosh
Archon: The Light and the Dark	platforms	Nintendo Entertainment System
Archon: The Light and the Dark	platforms	Amstrad CPC
Archon: The Light and the Dark	platforms	ZX Spectrum
Archon: The Light and the Dark	platforms	NEC PC-8801
Anarchy Online	platforms	Microsoft Windows
Neverwinter Nights	platforms	Microsoft Windows
Neverwinter Nights	platforms	Mac OS X
Neverwinter Nights	platforms	Linux
Zaxxon	platforms	Arcade, [[#Ports
Sonic Adventure	platforms	Dreamcast
Sonic Adventure	platforms	GameCube
Sonic Adventure	platforms	Microsoft Windows
Bounds Green tube station	platforms	2
Star Trek: Armada	platforms	Microsoft Windows
Star Trek: Armada II	platforms	Microsoft Windows
Star Trek: The Next Generation – A Final Unity	platforms	DOS
Star Trek: The Next Generation – A Final Unity	platforms	Macintosh
Star Trek Generations	platforms	IBM PC
Star Trek Generations	platforms	Microsoft Windows
Star Trek: Bridge Commander	platforms	Microsoft Windows
Star Trek: 25th Anniversary	platforms	Microsoft Windows
Star Trek: 25th Anniversary	platforms	OS X
Star Trek: 25th Anniversary	platforms	Linux
Star Trek: 25th Anniversary	platforms	MS-DOS
Star Trek: 25th Anniversary	platforms	Mac OS
Star Trek: 25th Anniversary	platforms	AmigaOS
Rick Dangerous	platforms	Amiga
Rick Dangerous	platforms	Amstrad CPC
Rick Dangerous	platforms	Atari ST
Rick Dangerous	platforms	Commodore 64
Rick Dangerous	platforms	ZX Spectrum
Rick Dangerous	platforms	DOS
The NewZealand Story	platforms	Arcade game
The NewZealand Story	platforms	Nintendo Entertainment System
The NewZealand Story	platforms	Amiga
The NewZealand Story	platforms	Commodore 64
The NewZealand Story	platforms	Amstrad CPC
The NewZealand Story	platforms	Atari ST
The NewZealand Story	platforms	Master System
The NewZealand Story	platforms	ZX Spectrum
The NewZealand Story	platforms	Sega Genesis
The NewZealand Story	platforms	TurboGrafx-16
The NewZealand Story	platforms	FM Towns
The NewZealand Story	platforms	X68000
The NewZealand Story	platforms	Virtual Console
Earth & Beyond	platforms	Microsoft Windows
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Arcade game
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Commodore 64
Rainbow Islands: The Story of Bubble Bobble 2	platforms	ZX Spectrum
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Amstrad CPC
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Atari ST
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Amiga
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Nintendo Entertainment System
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Master System
Rainbow Islands: The Story of Bubble Bobble 2	platforms	TurboGrafx-16
Rainbow Islands: The Story of Bubble Bobble 2	platforms	FM Towns
Rainbow Islands: The Story of Bubble Bobble 2	platforms	WonderSwan
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Game Boy Color
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Sega Saturn
Rainbow Islands: The Story of Bubble Bobble 2	platforms	PlayStation
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Sega Genesis
Rainbow Islands: The Story of Bubble Bobble 2	platforms	Mobile phone
London Bridge station	platforms	9
London Bridge station	platforms	4
Liero	platforms	MS-DOS
Manchester Piccadilly station	platforms	14
Manchester Piccadilly station	platforms	2
Birmingham New Street station	platforms	13
Birmingham Snow Hill station	platforms	3
Birmingham Snow Hill station	platforms	2
Embankment tube station	platforms	6
Charing Cross railway station	platforms	6
Cannon Street station	platforms	7
Cannon Street station	platforms	2
Charing Cross tube station	platforms	6
Kingdom Hearts	platforms	PlayStation 2
Daikatana	platforms	Microsoft Windows
Daikatana	platforms	Nintendo 64
Daikatana	platforms	Game Boy Color
Aldwych tube station	platforms	* 2 \n* 1
Holborn tube station	platforms	4
Tecmo Super Bowl	platforms	Nintendo Entertainment System
Prince of Persia	platforms	Apple II series
NBA Jam	platforms	Arcade game
NBA Jam	platforms	Super Nintendo Entertainment System
NBA Jam	platforms	Sega Genesis
NBA Jam	platforms	Sega CD
NBA Jam	platforms	Game Boy
NBA Jam	platforms	Game Gear
Doshin the Giant	platforms	64DD
Doshin the Giant	platforms	GameCube
Doshin the Giant	platforms	Nintendo 64DD
Metal Gear Solid	platforms	PlayStation
Metal Gear Solid	platforms	Microsoft Windows
Arsenal tube station	platforms	2
Finsbury Park station	platforms	12
Quest for Glory III: Wages of War	platforms	DOS
Leisure Suit Larry: Love for Sail!	platforms	MS-DOS
Leisure Suit Larry: Love for Sail!	platforms	Microsoft Windows
Leisure Suit Larry: Love for Sail!	platforms	Apple Macintosh
Quest for Glory II: Trial by Fire	platforms	Personal computer
Quest for Glory II: Trial by Fire	platforms	DOS
Quest for Glory II: Trial by Fire	platforms	Amiga
Monkey Island 2: LeChuck's Revenge	platforms	Original version
Monkey Island 2: LeChuck's Revenge	platforms	Amiga
Monkey Island 2: LeChuck's Revenge	platforms	FM Towns
Monkey Island 2: LeChuck's Revenge	platforms	Mac OS
Monkey Island 2: LeChuck's Revenge	platforms	MS-DOS
Monkey Island 2: LeChuck's Revenge	platforms	Special edition
Monkey Island 2: LeChuck's Revenge	platforms	IOS
Monkey Island 2: LeChuck's Revenge	platforms	Microsoft Windows
Monkey Island 2: LeChuck's Revenge	platforms	PlayStation 3
Monkey Island 2: LeChuck's Revenge	platforms	Xbox 360
Myst	platforms	Mac OS
Myst	platforms	Sega Saturn
Myst	platforms	PlayStation
Myst	platforms	3DO Interactive Multiplayer
Myst	platforms	Microsoft Windows
Myst	platforms	Atari Jaguar CD
Myst	platforms	CD-i
Myst	platforms	AmigaOS
Myst	platforms	PlayStation Portable
Myst	platforms	Nintendo DS
Myst	platforms	IOS
Myst	platforms	Nintendo 3DS
Joust	platforms	Arcade game
Star Trek: Starfleet Command	platforms	Microsoft Windows
Civilization II	platforms	Mac OS
Civilization II	platforms	PlayStation
Civilization II	platforms	Windows
Project-X	platforms	Amiga
Project-X	platforms	Amiga CD32
Project-X	platforms	MS-DOS
Rise of the Robots	platforms	Amiga
Rise of the Robots	platforms	Amiga CD32
Rise of the Robots	platforms	PC DOS
Rise of the Robots	platforms	Mega Drive
Rise of the Robots	platforms	Game Gear
Rise of the Robots	platforms	Super NES
Rise of the Robots	platforms	3DO Interactive Multiplayer
Rise of the Robots	platforms	Philips CD-i
Ghouls 'n Ghosts	platforms	Arcade game
Ghouls 'n Ghosts	platforms	Amiga
Ghouls 'n Ghosts	platforms	Amstrad CPC
Ghouls 'n Ghosts	platforms	Atari ST
Ghouls 'n Ghosts	platforms	CP System
Ghouls 'n Ghosts	platforms	Commodore 64
Ghouls 'n Ghosts	platforms	Sharp X68000
Ghouls 'n Ghosts	platforms	Sega Saturn
Ghouls 'n Ghosts	platforms	PlayStation
Ghouls 'n Ghosts	platforms	PlayStation 2
Ghouls 'n Ghosts	platforms	SuperGrafx
Ghouls 'n Ghosts	platforms	Sega Master System
Ghouls 'n Ghosts	platforms	Sega Genesis
Ghouls 'n Ghosts	platforms	Virtual Console
Ghouls 'n Ghosts	platforms	ZX Spectrum
Wario Land: Super Mario Land 3	platforms	Game Boy
Wario Land: Super Mario Land 3	platforms	Nintendo eShop
Sonic Heroes	platforms	GameCube
Sonic Heroes	platforms	PlayStation 2
Sonic Heroes	platforms	Xbox
Sonic Heroes	platforms	Windows
Sonic Heroes	platforms	PlayStation Network
Vegas Dream	platforms	Nintendo Entertainment System
Leicester Square tube station	platforms	4
Pokémon Ruby and Sapphire	platforms	Game Boy Advance
Fighter Ace	platforms	Microsoft Windows
Corridor 7: Alien Invasion	platforms	MS-DOS
Piccadilly Circus tube station	platforms	4
King's Cross St. Pancras tube station	platforms	8
SunDog: Frozen Legacy	platforms	Apple II family
SunDog: Frozen Legacy	platforms	Atari ST
Power Stone	platforms	Arcade game
Power Stone	platforms	Dreamcast
Power Stone	platforms	PlayStation Portable
Columns	platforms	Arcade, Atari ST, Sega Master System, Sega Mega Drive, Sega Mega-CD, Sega Game Gear, PC Engine, NEC PC-9801, MSX2, Super Famicom, Game Boy Color, Xbox 360, PlayStation 3, Virtual Console, iOS, Cloud
Tom Clancy's Ghost Recon	platforms	Microsoft Windows
Tom Clancy's Ghost Recon	platforms	Mac OS
Tom Clancy's Ghost Recon	platforms	Xbox
Tom Clancy's Ghost Recon	platforms	PlayStation 2
Tom Clancy's Ghost Recon	platforms	GameCube
Galactic Civilizations	platforms	Microsoft Windows
Enter the Matrix	platforms	GameCube
Enter the Matrix	platforms	Microsoft Windows
Enter the Matrix	platforms	PlayStation 2
Enter the Matrix	platforms	Xbox
Scorched Earth	platforms	DOS
Alternate Reality	platforms	Atari 8-bit family
Alternate Reality	platforms	Commodore 64
Alternate Reality	platforms	Apple II family
Alternate Reality	platforms	Mac OS
Alternate Reality	platforms	Atari ST
Alternate Reality	platforms	Amiga
Alternate Reality	platforms	MS-DOS
Alternate Reality	platforms	IOS
Alternate Reality	platforms	Atari 8-bit family, Commodore 64 / 128, Apple II
Acton Town tube station	platforms	4
Highbury & Islington station	platforms	8
Baker Street tube station	platforms	10
Sid Meier's Colonization	platforms	Amiga
Sid Meier's Colonization	platforms	DOS
Sid Meier's Colonization	platforms	Microsoft Windows
Sid Meier's Colonization	platforms	Macintosh
Sid Meier's Colonization	platforms	Linux
Elendor	platforms	Cross-platform
Killer Instinct	platforms	Arcade game
Killer Instinct	platforms	Super Nintendo Entertainment System
Killer Instinct	platforms	Game Boy
Killer Instinct	platforms	Xbox One
Roding Valley tube station	platforms	2
Return to Zork	platforms	Macintosh
Return to Zork	platforms	DOS
Return to Zork	platforms	PC-FX
Return to Zork	platforms	PlayStation
Return to Zork	platforms	Sega Saturn
Return to Zork	platforms	FM Towns
.hack	platforms	PlayStation 2
Oxford Circus tube station	platforms	6
Westferry DLR station	platforms	2
Limehouse station	platforms	4
Missile Command	platforms	Arcade game
Tom Clancy's Splinter Cell	platforms	Xbox
Tom Clancy's Splinter Cell	platforms	Microsoft Windows
Tom Clancy's Splinter Cell	platforms	PlayStation 2
Tom Clancy's Splinter Cell	platforms	GameCube
Tom Clancy's Splinter Cell	platforms	Game Boy Advance
Tom Clancy's Splinter Cell	platforms	Mobile phone
Tom Clancy's Splinter Cell	platforms	N-Gage
Tom Clancy's Splinter Cell	platforms	Mac OS X
Tom Clancy's Splinter Cell	platforms	PlayStation 3
Bellingham railway station	platforms	2
RuneScape	platforms	Microsoft Windows
RuneScape	platforms	OS X
RuneScape	platforms	Linux
Camden Town tube station	platforms	4
Battleships	platforms	ZX Spectrum
Battleships	platforms	Commodore 64
Battleships	platforms	Amstrad CPC
Battleships	platforms	BBC Micro
Battleships	platforms	Amiga
Bank and Monument stations	platforms	10
Bombuzal	platforms	Amiga
Bombuzal	platforms	Atari ST
Bombuzal	platforms	Commodore 64
Bombuzal	platforms	MS-DOS
Bombuzal	platforms	Super Nintendo Entertainment System
Oxyd	platforms	Amiga
Oxyd	platforms	Atari ST
Oxyd	platforms	DOS
Oxyd	platforms	Macintosh
Oxyd	platforms	NeXT
Utopia: The Creation of a Nation	platforms	DOS
Utopia: The Creation of a Nation	platforms	Amiga
Utopia: The Creation of a Nation	platforms	Atari ST
Utopia: The Creation of a Nation	platforms	Super Nintendo Entertainment System
Armour-Geddon	platforms	Amiga
Armour-Geddon	platforms	Atari ST
Armour-Geddon	platforms	DOS
The Perfect General	platforms	MS-DOS
The Perfect General	platforms	Amiga
The Perfect General	platforms	Microsoft Windows
The Perfect General	platforms	3DO Interactive Multiplayer
Shufflepuck Café	platforms	Apple Macintosh
Shufflepuck Café	platforms	Amiga
Shufflepuck Café	platforms	Atari ST
Shufflepuck Café	platforms	Apple IIgs
Shufflepuck Café	platforms	Amstrad CPC
Shufflepuck Café	platforms	NEC PC-9801
Shufflepuck Café	platforms	Sharp X68000
Shufflepuck Café	platforms	Nintendo Entertainment System
Shufflepuck Café	platforms	MS-DOS
James Pond	platforms	Amiga
James Pond	platforms	Atari ST
James Pond	platforms	Acorn Archimedes
James Pond	platforms	Sega Mega Drive
The Great Giana Sisters	platforms	Amiga
The Great Giana Sisters	platforms	Amstrad CPC
The Great Giana Sisters	platforms	Atari ST
The Great Giana Sisters	platforms	Commodore 64
The Great Giana Sisters	platforms	MSX2
The Great Giana Sisters	platforms	Mobile phone
The Great Giana Sisters	platforms	Unofficial ports:
The Great Giana Sisters	platforms	DOS
The Great Giana Sisters	platforms	Microsoft Windows
The Great Giana Sisters	platforms	Dreamcast
The Great Giana Sisters	platforms	Nintendo DS
The Great Giana Sisters	platforms	Linux
The Great Giana Sisters	platforms	Mac OS X
The Great Giana Sisters	platforms	AmigaOS 4
The Great Giana Sisters	platforms	NetBSD
The Great Giana Sisters	platforms	AROS
The Great Giana Sisters	platforms	MorphOS
The Great Giana Sisters	platforms	Symbian OS
The Great Giana Sisters	platforms	Atari STE
Shadow of the Beast	platforms	Amiga
Shadow of the Beast	platforms	Atari ST
Shadow of the Beast	platforms	Amstrad CPC
Shadow of the Beast	platforms	Commodore 64
Shadow of the Beast	platforms	ZX Spectrum
Shadow of the Beast	platforms	Super Nintendo Entertainment System
Shadow of the Beast	platforms	Sega Genesis
Shadow of the Beast	platforms	Master System
Shadow of the Beast	platforms	Atari Lynx
Shadow of the Beast	platforms	FM-Towns
Shadow of the Beast	platforms	TurboGrafx-CD
Shadow of the Beast	platforms	Genesis
Shadow of the Beast	platforms	Sega CD
Birmingham International railway station	platforms	5
Eye of the Beholder	platforms	DOS
Eye of the Beholder	platforms	Amiga
Eye of the Beholder	platforms	Sega CD
Eye of the Beholder	platforms	SNES
Eye of the Beholder	platforms	PC-98
Eye of the Beholder	platforms	Game Boy Advance
Treasure Island Dizzy	platforms	Amstrad CPC
Treasure Island Dizzy	platforms	ZX Spectrum
Treasure Island Dizzy	platforms	Commodore 64
Treasure Island Dizzy	platforms	Amiga
Treasure Island Dizzy	platforms	Atari ST
Treasure Island Dizzy	platforms	Nintendo Entertainment System
Treasure Island Dizzy	platforms	Amiga CD32
Treasure Island Dizzy	platforms	Microsoft Windows
Speedball	platforms	Atari ST
Speedball	platforms	Amiga
Speedball	platforms	Blackberry
Speedball	platforms	Commodore 64
Speedball	platforms	DOS
Speedball	platforms	Nintendo Entertainment System
Speedball	platforms	Sega Master System
Wrecking Crew	platforms	Nintendo Entertainment System
Wrecking Crew	platforms	Family Computer Disk System
Wrecking Crew	platforms	Game Boy Advance
Wrecking Crew	platforms	Virtual Console
Wrecking Crew	platforms	Super Nintendo Entertainment System
The Chaos Engine	platforms	Amiga
The Chaos Engine	platforms	Atari ST
The Chaos Engine	platforms	Amiga CD32
The Chaos Engine	platforms	MS-DOS
The Chaos Engine	platforms	RISC OS
The Chaos Engine	platforms	Sega Mega Drive
The Chaos Engine	platforms	Super Nintendo Entertainment System
The Chaos Engine	platforms	Mobile phone
The Chaos Engine	platforms	Microsoft Windows
The Chaos Engine	platforms	OS X
The Chaos Engine	platforms	Linux
Green Park tube station	platforms	6
Backyard Basketball	platforms	Microsoft Windows
Backyard Basketball	platforms	Macintosh
Backyard Basketball	platforms	Playstation 2
Backyard Basketball	platforms	Game Boy Advance
Backyard Basketball	platforms	Game Boy Advance, Nintendo GameCube  Microsoft Windows, PlayStation 2, Nintendo DS
Colossal Cave Adventure	platforms	initially DEC PDP-10
Tapper	platforms	Arcade game
Tapper	platforms	Atari 2600
Tapper	platforms	Atari 8-bit
Tapper	platforms	ColecoVision
Tapper	platforms	Commodore 64
Tapper	platforms	ZX Spectrum
Tapper	platforms	MSX
Tapper	platforms	Amstrad CPC
Tapper	platforms	BBC Micro
Tapper	platforms	IBM PC
The Hitchhiker's Guide to the Galaxy	platforms	Amiga, Amstrad CPC, Amstrad PCW, Apple II, Apricot PC, Atari 8-bit, Atari ST, Commodore 64/128, Commodore Plus/4, CP/M, DOS, Epson QX-10, Kaypro II, Macintosh, Osborne 1, TI-99/4A, TRS-80, Flash
Escape Velocity Nova	platforms	Mac OS, Mac OS X and Microsoft Windows
The Bard's Tale	platforms	Amiga
The Bard's Tale	platforms	Amstrad CPC
The Bard's Tale	platforms	Apple II
The Bard's Tale	platforms	Apple IIgs
The Bard's Tale	platforms	Apple Macintosh
The Bard's Tale	platforms	Atari ST
The Bard's Tale	platforms	Commodore 64
The Bard's Tale	platforms	DOS
The Bard's Tale	platforms	Nintendo Entertainment System
The Bard's Tale	platforms	ZX Spectrum
The Bard's Tale	platforms	NEC PC-9801
Pinball Construction Set	platforms	Apple II family
Pinball Construction Set	platforms	Atari 8-bit
Pinball Construction Set	platforms	Commodore 64
Pinball Construction Set	platforms	Apple Macintosh
Pinball Construction Set	platforms	MS-DOS
M.U.L.E.	platforms	Atari 8-bit family
M.U.L.E.	platforms	Commodore 64
M.U.L.E.	platforms	IBM PCjr
M.U.L.E.	platforms	MSX
M.U.L.E.	platforms	Nintendo Entertainment System
M.U.L.E.	platforms	NEC PC-8801
M.U.L.E.	platforms	Sharp X1
Clapham Junction railway station	platforms	17
Ehrgeiz	platforms	Arcade game
Ehrgeiz	platforms	PlayStation
Ehrgeiz	platforms	PlayStation Network
Elite	platforms	BBC Micro
Elite	platforms	Acorn Electron
Elite	platforms	Apple II
Elite	platforms	Amstrad CPC
Elite	platforms	Commodore 64
Elite	platforms	ZX Spectrum
Elite	platforms	MSX
Elite	platforms	Tatung Einstein
Elite	platforms	IBM PC compatible
Elite	platforms	Acorn Archimedes
Elite	platforms	Amiga
Elite	platforms	Atari ST
Elite	platforms	Nintendo Entertainment System
